platform,type,author,text,sentiment,date,url
YouTube_Comment,Comment,@nmd1020,"Man, Riot is so freaking smart. They spent 10 years developing a game just to advertise for their phenomenal animated series. Simply genius",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@iamfriendly6483,This series isn't even half done but it already needs a season 6,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@TheRealGuywithoutaMustache,Imagine Dragons and Riot Games collaborating always results in legendary music,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@nWx_rblx,2026 anyone guys ?,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@TsukikageOz,"""Tell you you're the greatest""
""But once you turn, they hate us""

Hits different after Episode 3.",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@OhRelaxAlex,Everybody: “this hits different after watching Arcane”,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@zach7221,"0:27 ""Hey man im gonna take all of your money"" 😂😂😂 am i the only one who heard that???",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@olive-verte9769,JID is so fast,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@pandacartoful7139,The fact that imagine dragons are real in arcane makes it so much better,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@TreyJ_mx,"Could care less about League never played it and don’t know the lore, but Arcane is simply one of the greatest things I’ve ever seen.",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@meh12391,"Lonely, depressed child walking into a seedy bar alone
Imagine Dragons: Yo, this'd make a good single",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@allie8195,whos here in 2026 baby,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@sertristan52,"When you survive the gank and kill the enemy jungler: 

1:32",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@PubberBubberChubber,"The fact that they made Imagine Dragons canon in the series, they put so much love into this series and it certainly came out like a masterpiece",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@jimharper2180,"This slaps so much harder after having watched the first act of Arcane.

Edit: After having finished the entire first season, I've been able to observe how the show and this music video make each other better. Many of the images shown in this video reveal more about the story. We see how the firelights cherished by Powder in her youth became a weapon developed by Jinx and the namesake of Ekko's Firelights. In the show, we only get to see Vi eating at Jericho's shop after her release from Stillwater Prison, but we can see her and the rest of her adopted family eating together in their youth in this video. In the show, we only see the young Ekko as a friend of Powder's adopted family, but the portrayal of Powder and Ekko in this music video shines a brighter light on what they meant to each other in their childhood, making the meaning of their fight in Act III much deeper. This is a great example of how the art of the 21st century often manifests itself in multiple genres simultaneously, all of which build upon each other.",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@DeJay7,"""Oh, the misery, everybody wants to be my enemy.""
League of Legends players:",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@jvn.casiano,"""I used to have a crush, until she started talking to her gun.""

- Ekko, the boy who shattered time",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@DigiNeko,The amount of details that they put to the series is absolutely crazy. Big props to the team,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@ElDilanSantillan-uz9kz,Estoy en 2026 y solo puedo decir TEMAZO,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@samnu7519,I didn’t expect this series to be really good but it’s FANTASTIC,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@MrIsraelcenaiko,"""‪In order to prepare for his role in 'Space Jam'(1996), actor Michael Jordan played nine seasons of professional basketball and won three national championships.""",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Qwerty-wk3jy,Brain go smart smart,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@keroki932,lmfao. thanks for the laugh,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@gene9828,Actually they are smart bcs they make lots of money with a single project whici they split in other projects based on the main project,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Alextab0,The balance team left early I guess,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@FireDarkNinja," @Alextab0  Nah it’s still there, just Jim and the unpaid intern.",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@arturorodriguez6096, @Alextab0  yeah they accidentally made arcane so op it became the most watched Netflix show within a week of its release,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@houseofjudah7470," @Alextab0  The balance team, see all the plots against the balance",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@HonorCandy,"they didn't spend 10 years developing a game. they spent 10 years advertising a game so they could advertise other products. the game itself has seen very little money reinvested into development of the game. (mostly because they took an already popular concept, took out the bars to accessibility, and curated to popular themes)

They've never tried to actually make games, they've been trying to become the next pokemon.",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@czar6203," @HonorCandy  wait, the pokemon games are bad? I've never played.",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@aizelfrost1780,And their all game's are connected,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@wownewgen,Thank Fortiche studio. They’re lowkey the MVPs. The production is phenomenal.,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@comasquash6905,No they create the series because wild rift have flop so people will desire play wild rift,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@username73684,More than 10,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Examader,indeed,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Gyunthar,xDDD,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@goigadol1420,and also make it so bad you would want something really good to cover for the absolute chaos the game is,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@mcdesu3544,Nah. Imagine dragons actually made lol/riot so that they could make this song,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@somedude1880,Your throat hurt?,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Shaniepots," @somedude1880  unfortunately not, r/whooosh",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@mjtingle1, @orobert3700  okay Drax lol,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@pepper6270,"It's the build up that is crazy cool, the other equivalent to this is marvels endgame, with the build up from previous movies 😂",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@HowdyJ.Marston,When you realized arcane took 6 years to make..,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@lespacegaming6539,Wakfu is also good from the gaming 😲,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Random-xd4zm,Yeah and Fortiche Production with These Incredible visuals,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@matteod6920,Lol,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@chuca3279,Thanks to Fortiche!,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@phonk7681,"Lmfao,thank for the laugh",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@pneumoencephalographically," @Red-no4zo   i feel bad for you,  have my condolences, try roasting them to make them stop, it's just a suggestion :)",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Red-no4zo," @pneumoencephalographically  roasting them would get these comments double lol,i could already see 10 people arguing with me if i do it :))",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Red-no4zo," xc d  i think most of us who are here are or were lol players,the game is good too if you don't get competitive",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@jordanschunk57,100% true 17m views in 2 weeks when I saw the first trailer I said I new this show is going to succeed easily and I'm in love it's just as good as I imagined it was gonna be and I don't even play lol lmao,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Shaniepots,"man this is so funny, can't stop laughing, oh god",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@SleepySpaceStory,The real goal is to make a Metaverse of League folks,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@tehchhaima4087,This is why riot is successful 😁,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Ben-re6rf,Kkk,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@wattsong762, @orobert3700  I laughed so hard when he said that lol great movie! Like come on dude NO! 😂,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@benoleary12,A d a great 1 at that,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@crude_yt2173,no,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@dazh686,"Nah, that wasn't the reason.

They made the game and then the series only to promote their record company and musical artists.",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@bionicletech,Galaxy brain play…,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@taiken101,Pretty sure league makes more money than this 😂😂,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@czar6203,😂😂😂😂lets be honest. Everyzing riot make is perfect except ze game.,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@asaljazebnikoo9052,...,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@ragnarcashpar4714,if only the show was as good as the game.,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@sirprizemothafuga,😝😝,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@ashish1131,No bro they developed game and the series only to promote pubg event....a classic move,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@JEH1TRON,I never even expected it,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@davidkim1105,this is the best comment ever,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@thunderninja1547,People have been begging for riot to make a series for a LONG TIME,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@skeishing377,👍,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@Spindrell,"It would've never been possible, without the old school banger pages of lore.",Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@RodrigoLopez-gr4mp,a,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@starvillain1632,My my.. everybody was smart people.. but people wants hard work or not.. hey my lazy human... I'm your madao,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@huby9118,true,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@glitchgunblaze3796,The balancing team at riot aint tho.,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@gumoftheball,If only that was how it actually went,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@CELTICSMETS, @orobert3700  i love you now,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
YouTube_Comment,Comment,@jiovani_adventures7328,What game?,Neutral,2025-10-XX,https://www.youtube.com/watch?v=F5tSoaJ93ac
