Date,BTC_Price,BTC_Change,Fear_Greed,Bitcoin crash,Liquidation
2026-01-20,88310.90625,1.2071608510981546,32,4,92
2026-01-21,89376.9609375,1.2071608510981546,24,4,100
2026-01-22,89462.453125,0.0956534957143873,20,1,71
2026-01-23,89503.875,0.04630084862766726,24,1,64
2026-01-24,89110.734375,-0.439244250598092,25,1,55
2026-01-25,86572.21875,-2.8487203509257375,25,2,58
2026-01-26,88267.140625,1.9578126787931138,20,2,62
2026-01-27,89102.5703125,0.9464787027023913,29,1,66
2026-01-28,89184.5703125,0.09202877056453396,29,1,67
2026-01-29,84561.5859375,-5.183614563372574,26,4,73
2026-01-30,84128.65625,-0.5119696877728619,16,6,71
2026-01-31,78621.1171875,-6.546567255435032,20,12,69
2026-02-01,76974.4453125,-2.094439679701987,14,11,68
2026-02-02,78688.765625,2.2271291537603544,14,8,71
2026-02-03,75633.546875,-3.882661934945053,17,6,70
2026-02-05,71274.484375,-5.763398227514371,12,8,86
