video_id,title,description,channel_title,channel_id,published_at,search_keyword,url,view_count,like_count,comment_count,duration
_WkOXpCQcHg,🚨OCT 10TH 2025 CRASH The Last Warning🚨,Xrp #Xrpnews #Xrparmy #3tAcademy #CoachJV #Crypto #greatreset #crypto REPORT A FAKE/SCAM ACCOUNT: ...,3T Warrior Academy ,UC_e0zCKJyBdLYAvTQBgQrPw,2025-10-13T14:34:31Z,October 2025 crypto crash,https://www.youtube.com/watch?v=_WkOXpCQcHg,32022,1904,215,PT27M54S
G4ZMB4SDbF4,BIGGEST Cryptocurrency Market CRASH!! What Happens Next??,"Cryptocurrency Market CRASH!! What Happens Next?? ✓ Bitunix (no kyc, $100000 bonus): https://www.bitunix.com/register?",Altcoin Daily,UCbLhGKVY-bJPcawebgtNfbw,2025-10-10T21:17:47Z,October 2025 crypto crash,https://www.youtube.com/watch?v=G4ZMB4SDbF4,205539,5243,1322,PT10M7S
23ddxotpMZM,The Crypto Flash Crash - Insane Corruption,Take your personal data back with Incogni! Use code ECHELON at the link below and get 60% off an annual plan: ...,Upper Echelon,UChI0q9a-ZcbZh7dAu_-J-hg,2025-10-12T03:09:54Z,October 2025 crypto crash,https://www.youtube.com/watch?v=23ddxotpMZM,227639,13342,2914,PT14M8S
4PioJAim8mc,Crypto Crash📉 Huge Dump💥,Crypto Crash   300k Position Size Crypto Ethereum Binance Futures Trade with 100x leverage Important Disclaimer: This ...,Infinity Algo,UC1q5zTEdpeSQS8ksq4hdJcw,2025-09-27T07:42:41Z,October 2025 crypto crash,https://www.youtube.com/watch?v=4PioJAim8mc,36009,404,26,PT23S
odq4tLVSjQs,19B Crypto Crash: Who Is Behind This?,"The crypto market just faced its biggest crash in history—over $19B wiped out, 1.6M traders liquidated, and Bitcoin dropped $20K ...",Coin Bureau,UCqK_GSMbpiV8spgD3ZGloSw,2025-10-12T14:36:06Z,October 2025 crypto crash,https://www.youtube.com/watch?v=odq4tLVSjQs,259778,9057,927,PT11M45S
n-q5xSMjpr0,Bitcoin CRASH is Not What You Think! Crypto will EXPLODE in October!! (3 Altcoins) BIG NEWS,"Everything changes in 24 hours ✓ Bitunix (no kyc, $100000 bonus): https://www.bitunix.com/register?vipCode=AltcoinDaily ...",Altcoin Daily,UCbLhGKVY-bJPcawebgtNfbw,2025-09-22T22:26:22Z,October 2025 crypto crash,https://www.youtube.com/watch?v=n-q5xSMjpr0,53149,2929,183,PT10M49S
mDFYznBkFPE,RIP My crypto career: Oct 2025-2025,"The minute I invest all my life savings into crypto, the whole market collapses. I think it is a signal from the high almighty (or the US ...",Kushal Yadav,UCR7-U_l0NpR-HF2ewF-yf0A,2025-10-14T13:30:44Z,October 2025 crypto crash,https://www.youtube.com/watch?v=mDFYznBkFPE,859,8,2,PT19S
-nCym8HgoW0,Why Did Bitcoin&#39;s Price Crash in October?,Bitcoin's first red October in 7 years has people asking — is the bull run over? Dante Cook breaks down why this dip means ...,Simply Bitcoin,UCB6Q0S1gUHXMe5-Jjx0_laQ,2025-10-31T22:04:36Z,October 2025 crypto crash,https://www.youtube.com/watch?v=-nCym8HgoW0,26856,1721,114,PT12M7S
HySk6Krg1Sk,The BIGGEST CRYPTO CRASH In History Just Happened...,A crypto crash worse than the COVID crash and the FTX collapse just happened — what does this mean for the market? ➡ Follow ...,EllioTrades,UCMtJYS0PrtiUwlk6zjGDEMA,2025-10-11T21:14:43Z,October 2025 crypto crash,https://www.youtube.com/watch?v=HySk6Krg1Sk,96627,4191,875,PT20M30S
fHGyCkhGVwo,Crypto Crash Turns Tragic: Ukrainian CEO Found Dead in Lamborghini After Market Plunge | Watch,A Ukrainian crypto entrepreneur was found dead in Kyiv shortly after the cryptocurrency market plunged following Trump's 100% ...,Mint,UCUI9vm69ZbAqRK3q3vKLWCQ,2025-10-13T17:00:52Z,October 2025 crypto crash,https://www.youtube.com/watch?v=fHGyCkhGVwo,78089,818,324,PT3M37S
