date,btc_price_usd,fear_greed,classification,timestamp_utc
20250901,109237.42,46,Fear,2025-09-01T00:00:00Z
20250902,111240.01,49,Neutral,2025-09-02T00:00:00Z
20250903,111705.71,55,Greed,2025-09-03T00:00:00Z
20250904,110730.87,51,Neutral,2025-09-04T00:00:00Z
20250905,110659.99,48,Neutral,2025-09-05T00:00:00Z
20250906,110187.97,48,Neutral,2025-09-06T00:00:00Z
20250907,111137.34,44,Fear,2025-09-07T00:00:00Z
20250908,112065.23,51,Neutral,2025-09-08T00:00:00Z
20250909,111546.39,48,Neutral,2025-09-09T00:00:00Z
20250910,113960.0,49,Neutral,2025-09-10T00:00:00Z
20250911,115482.69,54,Neutral,2025-09-11T00:00:00Z
20250912,116029.42,57,Greed,2025-09-12T00:00:00Z
20250913,115918.29,52,Neutral,2025-09-13T00:00:00Z
20250914,115268.01,55,Greed,2025-09-14T00:00:00Z
20250915,115349.71,53,Neutral,2025-09-15T00:00:00Z
20250916,116788.96,52,Neutral,2025-09-16T00:00:00Z
20250917,116447.59,53,Neutral,2025-09-17T00:00:00Z
20250918,117073.53,52,Neutral,2025-09-18T00:00:00Z
20250919,115632.38,53,Neutral,2025-09-19T00:00:00Z
20250920,115685.63,48,Neutral,2025-09-20T00:00:00Z
20250921,115232.29,49,Neutral,2025-09-21T00:00:00Z
20250922,112650.99,45,Fear,2025-09-22T00:00:00Z
20250923,111998.8,43,Fear,2025-09-23T00:00:00Z
20250924,113307.0,44,Fear,2025-09-24T00:00:00Z
20250925,108994.49,44,Fear,2025-09-25T00:00:00Z
20250926,109643.46,28,Fear,2025-09-26T00:00:00Z
20250927,109635.85,33,Fear,2025-09-27T00:00:00Z
20250928,112163.95,37,Fear,2025-09-28T00:00:00Z
20250929,114311.96,50,Neutral,2025-09-29T00:00:00Z
20250930,114048.93,50,Neutral,2025-09-30T00:00:00Z
20251001,118594.99,49,Neutral,2025-10-01T00:00:00Z
20251002,120529.35,64,Greed,2025-10-02T00:00:00Z
20251003,122232.0,63,Greed,2025-10-03T00:00:00Z
20251004,122391.0,71,Greed,2025-10-04T00:00:00Z
20251005,123482.31,74,Greed,2025-10-05T00:00:00Z
20251006,124658.54,71,Greed,2025-10-06T00:00:00Z
20251007,121332.95,70,Greed,2025-10-07T00:00:00Z
20251008,123306.0,60,Greed,2025-10-08T00:00:00Z
20251009,121662.4,70,Greed,2025-10-09T00:00:00Z
20251010,112774.5,64,Greed,2025-10-10T00:00:00Z
20251011,110644.4,27,Fear,2025-10-11T00:00:00Z
20251012,114958.8,24,Extreme Fear,2025-10-12T00:00:00Z
20251013,115166.0,38,Fear,2025-10-13T00:00:00Z
20251014,113028.14,38,Fear,2025-10-14T00:00:00Z
20251015,110763.28,34,Fear,2025-10-15T00:00:00Z
20251016,108194.28,28,Fear,2025-10-16T00:00:00Z
20251017,106431.68,22,Extreme Fear,2025-10-17T00:00:00Z
20251018,107185.01,23,Extreme Fear,2025-10-18T00:00:00Z
20251019,108642.78,29,Fear,2025-10-19T00:00:00Z
20251020,110532.09,29,Fear,2025-10-20T00:00:00Z
20251021,108297.67,34,Fear,2025-10-21T00:00:00Z
20251022,107567.44,25,Extreme Fear,2025-10-22T00:00:00Z
20251023,110078.18,27,Fear,2025-10-23T00:00:00Z
20251024,111004.89,30,Fear,2025-10-24T00:00:00Z
20251025,111646.27,37,Fear,2025-10-25T00:00:00Z
20251026,114559.4,40,Fear,2025-10-26T00:00:00Z
20251027,114107.65,51,Neutral,2025-10-27T00:00:00Z
20251028,112898.45,50,Neutral,2025-10-28T00:00:00Z
20251029,110021.29,51,Neutral,2025-10-29T00:00:00Z
20251030,108322.88,34,Fear,2025-10-30T00:00:00Z
20251031,109608.01,29,Fear,2025-10-31T00:00:00Z
