date,M2SL,CPI_YoY_Inflation_Rate
2025-09-01,22211.9,3.0
2025-09-02,22211.9,3.0
2025-09-03,22211.9,3.0
2025-09-04,22211.9,3.0
2025-09-05,22211.9,3.0
2025-09-06,22211.9,3.0
2025-09-07,22211.9,3.0
2025-09-08,22211.9,3.0
2025-09-09,22211.9,3.0
2025-09-10,22211.9,3.0
2025-09-11,22211.9,3.0
2025-09-12,22211.9,3.0
2025-09-13,22211.9,3.0
2025-09-14,22211.9,3.0
2025-09-15,22211.9,3.0
2025-09-16,22211.9,3.0
2025-09-17,22211.9,3.0
2025-09-18,22211.9,3.0
2025-09-19,22211.9,3.0
2025-09-20,22211.9,3.0
2025-09-21,22211.9,3.0
2025-09-22,22211.9,3.0
2025-09-23,22211.9,3.0
2025-09-24,22211.9,3.0
2025-09-25,22211.9,3.0
2025-09-26,22211.9,3.0
2025-09-27,22211.9,3.0
2025-09-28,22211.9,3.0
2025-09-29,22211.9,3.0
2025-09-30,22211.9,3.0
2025-10-01,22297.8,2.8
2025-10-02,22297.8,2.8
2025-10-03,22297.8,2.8
2025-10-04,22297.8,2.8
2025-10-05,22297.8,2.8
2025-10-06,22297.8,2.8
2025-10-07,22297.8,2.8
2025-10-08,22297.8,2.8
2025-10-09,22297.8,2.8
2025-10-10,22297.8,2.8
2025-10-11,22297.8,2.8
2025-10-12,22297.8,2.8
2025-10-13,22297.8,2.8
2025-10-14,22297.8,2.8
2025-10-15,22297.8,2.8
2025-10-16,22297.8,2.8
2025-10-17,22297.8,2.8
2025-10-18,22297.8,2.8
2025-10-19,22297.8,2.8
2025-10-20,22297.8,2.8
2025-10-21,22297.8,2.8
2025-10-22,22297.8,2.8
2025-10-23,22297.8,2.8
2025-10-24,22297.8,2.8
2025-10-25,22297.8,2.8
2025-10-26,22297.8,2.8
2025-10-27,22297.8,2.8
2025-10-28,22297.8,2.8
2025-10-29,22297.8,2.8
2025-10-30,22297.8,2.8
2025-10-31,22297.8,2.8
2025-11-01,22322.1,2.7
