date_day,n
2025-09-01,207
2025-09-02,250
2025-09-03,249
2025-09-04,250
2025-09-05,247
2025-09-06,177
2025-09-07,117
2025-09-08,250
2025-09-09,250
2025-09-10,247
2025-09-11,193
2025-09-12,246
2025-09-13,208
2025-09-14,126
2025-09-15,249
2025-09-16,248
2025-09-17,232
2025-09-19,250
2025-09-20,176
2025-09-21,120
2025-09-22,249
2025-09-23,250
2025-09-24,248
2025-09-25,249
2025-09-26,247
2025-09-27,170
2025-09-28,177
2025-09-29,233
2025-09-30,250
2025-10-01,204
2025-10-02,248
2025-10-03,248
2025-10-04,104
2025-10-05,247
2025-10-06,248
2025-10-07,250
2025-10-08,243
2025-10-09,249
2025-10-10,248
2025-10-11,248
2025-10-12,229
2025-10-13,250
2025-10-14,247
2025-10-15,249
2025-10-16,249
2025-10-17,249
2025-10-18,205
2025-10-19,174
2025-10-20,236
2025-10-21,245
2025-10-22,248
2025-10-23,249
2025-10-24,250
2025-10-25,243
2025-10-26,156
2025-10-27,250
2025-10-28,196
2025-10-29,245
2025-10-30,247
2025-10-31,208
