Date,Yield_10Y,Gold_Price_YF,BTC_Price_Speed,M2_Expansion_Speed,USD_Index,Gold_Price_Investing,Open_Interest,BTC_Price
20250901,,,,,97.77,,75.0,109243.3
20250902,42.77,3549.39990234375,,,98.4,3592.2,76.0,111218.3
20250903,42.11,3593.199951171875,,,98.14,3635.5,77.0,111716.5
20250904,41.76,3565.800048828125,,,98.35,3606.7,78.0,110712.7
20250905,40.86,3613.199951171875,,,97.77,,79.0,110652.2
20250906,,,,,,,80.0,110194.4
20250907,,,,,,,81.0,111150.1
20250908,40.46,3638.10009765625,2.588682522893704,0.0,97.45,3677.4,82.0,112068.4
20250909,40.74,3643.300048828125,0.2754224851292397,0.0,97.79,3682.2,83.0,111516.5
20250910,40.32,3643.60009765625,2.018061565518892,0.0,97.78,3682.0,84.0,113963.5
20250911,40.11,3636.89990234375,4.291323639017741,0.0,97.53,3673.6,85.0,115490.2
20250912,40.61,3649.39990234375,4.8521873172046925,0.0,97.55,,86.0,116042.8
20250913,,,5.200495117570458,0.0,,,87.0,115924.9
20250914,,,3.71672562974783,0.0,,,88.0,115314.6
20250915,40.34,3682.199951171875,2.930864461706828,0.0,97.3,3719.0,89.0,115362.1
20250916,40.26,3688.89990234375,4.699901090479042,0.0,96.63,3725.1,90.0,116795.9
20250917,40.76,3681.800048828125,2.182862407862407,0.0,96.87,3717.8,91.0,116425.9
20250918,41.04,3643.699951171875,1.3775571040127277,0.0,97.35,3678.3,92.0,117086.0
20250919,41.39,3671.5,-0.3421890758395496,0.0,97.64,,92.72,115649.0
20250920,,,-0.2007103451922787,0.0,,,93.44,115699.2
20250921,,,-0.0309886498430889,0.0,,,94.17,115243.0
20250922,41.43,3740.699951171875,-2.339598426385292,0.0,97.34,3761.6,94.89,112673.0
20250923,41.2,3780.60009765625,-4.101552064510205,0.0,97.26,3801.8,95.61,112002.6
20250924,41.47,3732.10009765625,-2.696998709891718,0.0,97.87,3753.4,96.33,113307.1
20250925,41.72,3736.89990234375,-6.900825489758445,0.0,98.55,3756.5,97.06,109016.3
20250926,41.87,3775.300048828125,-5.179275908703085,0.0,98.15,,97.78,109662.2
20250927,,,-5.229499981977015,0.0,,,98.5,109652.8
20250928,,,-2.66274322935004,0.0,,,99.22,112174.6
20250929,41.41,3820.89990234375,1.474438884203333,0.0,97.91,3855.2,99.94,114357.5
20250930,41.48,3840.800048828125,1.8304928267088405,0.0,97.78,3873.2,100.67,114048.5
20251001,41.06,3867.5,4.666957910808689,0.3867296359158834,97.71,3897.5,101.39,118576.2
20251002,40.88,3839.699951171875,10.58297534123056,0.3867296359158834,97.85,3868.1,102.11,120566.1
20251003,41.19,3880.800048828125,11.48134143158195,0.3867296359158834,97.72,,102.83,122224.2
20251004,,,11.634105085152346,0.3867296359158834,,,103.56,122387.1
20251005,,,10.090907105179523,0.3867296359158834,,,104.28,123475.5
20251006,41.62,3948.5,9.051178896766343,0.3867296359158834,98.11,3976.3,105.0,124725.1
20251007,41.27,3976.60009765625,6.386749967755079,0.3867296359158834,98.58,4004.4,104.5,121356.6
20251008,41.29,4043.300048828125,3.9723516145159232,0.0,98.92,4070.5,104.0,123311.1
20251009,41.48,3946.300048828125,0.9400614870983536,0.0,99.54,3972.6,103.5,121666.3
20251010,40.51,3975.89990234375,-7.737335558609859,0.0,98.98,,100.0,112878.6
20251011,,,-9.597601130802104,0.0,,,68.0,110671.5
20251012,,,-6.90261625329166,0.0,,,67.9,114986.0
20251013,40.51,4108.60009765625,-7.614833287795597,0.0,99.27,4133.0,67.8,115174.8
20251014,40.22,4138.7001953125,-6.844645250939663,0.0,99.05,4163.4,67.7,113030.8
20251015,40.46,4176.89990234375,-10.172027314161516,0.0,98.79,4201.6,67.6,110767.4
20251016,39.76,4280.2001953125,-11.070075882113118,0.0,98.34,4304.6,67.5,108204.8
20251017,40.07,4189.89990234375,-5.624338835463694,0.0,98.43,,67.4,106443.5
20251018,,,-3.12658390302627,0.0,,,67.3,107193.5
20251019,,,-5.49415964676041,0.0,,,67.2,108658.2
20251020,39.86,4336.39990234375,-4.0236788635534815,0.0,98.59,4359.4,67.1,110544.0
20251021,39.63,4087.699951171875,-4.185214407668747,0.0,98.93,4109.1,67.0,108340.9
20251022,39.53,4044.39990234375,-2.885288337434566,0.0,98.9,4065.4,66.9,107587.5
20251023,39.91,4125.5,1.7412195912759776,0.0,98.94,4145.6,66.8,110078.9
20251024,39.97,4118.39990234375,4.296850336290858,0.0,98.95,,66.7,111013.1
20251025,,,4.162205144170827,0.0,,,66.6,111646.1
20251026,,,5.445939435644043,0.0,,,66.5,114550.9
20251027,39.97,4001.89990234375,3.234861477784423,0.0,98.78,4005.5,66.4,114108.0
20251028,39.83,3966.199951171875,4.248272377420492,0.0,98.67,3968.7,66.3,112905.8
20251029,40.58,3983.699951171875,2.281220042049892,0.0,99.22,3986.2,66.2,110024.6
20251030,40.93,4001.300048828125,-1.594593951317136,0.0,99.53,4015.9,66.1,108320.1
20251031,41.01,3982.199951171875,-2.114591528355192,0.0,99.8,,66.0,109602.8
