,BTC_Price,BTC_Price_Speed,M2SL,Yield_10Y,USD_Index,tone_mean,tone_pos_share,tone_neg_share,theme_cnt__EPU_POLICY,theme_cnt__LEADER,theme_cnt__GENERAL_GOVERNMENT,theme_cnt__ECON_BITCOIN,theme_cnt__ECON_STOCKMARKET,Open_Interest,sns_engagement_total,sns_post_count
BTC_Price,1.0,0.6973791482309619,0.1009418265771908,0.2578324885753311,-0.2549592840887672,0.31312540581160053,0.3576894085964589,-0.3857967794022066,-0.03360136220492443,-0.1622646057616576,0.08572098057138572,-0.06683763963923893,0.09848813366254355,0.6863606626658524,-0.05825846633180869,-0.3128726360842727
BTC_Price_Speed,0.6973791482309619,1.0,-0.008584768896940867,0.12329312410039346,-0.34947391802133765,0.47045736542850125,0.467012859615793,-0.4910034438608191,-0.019855424236237658,-0.09238206698612646,-0.0037682466643826898,-0.07120368876789492,0.027728032093283214,0.41851398714466836,-0.3158968904430457,-0.6475630434141958
M2SL,0.1009418265771908,-0.008584768896940867,1.0,-0.46297235546093957,0.7401231000734129,-0.18216627372584068,-0.23341661278409367,0.2393230623178996,0.1293692616762753,0.10958855025039801,0.4279092458801064,0.11624922839207788,0.0039047165437517367,-0.35738090304629017,0.06874903255065876,0.40056168914643847
Yield_10Y,0.2578324885753311,0.12329312410039346,-0.46297235546093957,1.0,-0.23353716124608237,0.3566810634961438,0.40295836158981163,-0.40090711881457064,-0.07989141689225555,-0.10409973216356679,-0.14852994701835928,-0.09259483561678139,0.08965323766766622,0.5811845432281874,0.009087669262764449,-0.30096980665768575
USD_Index,-0.2549592840887672,-0.34947391802133765,0.7401231000734129,-0.23353716124608237,1.0,-0.2095652719004867,-0.26371107660550097,0.2980371714818304,0.1422583804947202,0.21563207464733788,0.3379771993106202,0.14398392164382667,0.03413246806745684,-0.5167985698575749,0.08588099541342577,0.4129805232980543
tone_mean,0.31312540581160053,0.47045736542850125,-0.18216627372584068,0.3566810634961438,-0.2095652719004867,1.0,0.8763131776905948,-0.8754998407777613,-0.21918835795620922,-0.2625679897673247,-0.29333077080355746,-0.16358859741727194,0.14181494043371054,0.331203913939722,-0.22565053782567518,-0.5579691635822048
tone_pos_share,0.3576894085964589,0.467012859615793,-0.23341661278409367,0.40295836158981163,-0.26371107660550097,0.8763131776905948,1.0,-0.9564802610550694,-0.18848228257671726,-0.2898122673108946,-0.2787149385758825,-0.13191824953145762,0.16820447718447978,0.3726242546276725,-0.17079840564135626,-0.5637638737987904
tone_neg_share,-0.3857967794022066,-0.4910034438608191,0.2393230623178996,-0.40090711881457064,0.2980371714818304,-0.8754998407777613,-0.9564802610550694,1.0,0.20030769822232164,0.3031027706145828,0.24161135944018736,0.13389321008449373,-0.20214656034016806,-0.39769546967143465,0.17886368015975435,0.5751010818195178
theme_cnt__EPU_POLICY,-0.03360136220492443,-0.019855424236237658,0.1293692616762753,-0.07989141689225555,0.1422583804947202,-0.21918835795620922,-0.18848228257671726,0.20030769822232164,1.0,0.7644196317956055,0.8188013665366982,0.9162413723183725,0.6695036404346145,-0.08625707675384253,0.07091096806571183,0.008767870459187688
theme_cnt__LEADER,-0.1622646057616576,-0.09238206698612646,0.10958855025039801,-0.10409973216356679,0.21563207464733788,-0.2625679897673247,-0.2898122673108946,0.3031027706145828,0.7644196317956055,1.0,0.6019437873954344,0.6958340809932568,0.44930386092248964,-0.29630703567829625,0.19480119527566722,0.1553112721907334
theme_cnt__GENERAL_GOVERNMENT,0.08572098057138572,-0.0037682466643826898,0.4279092458801064,-0.14852994701835928,0.3379771993106202,-0.29333077080355746,-0.2787149385758825,0.24161135944018736,0.8188013665366982,0.6019437873954344,1.0,0.7392894500271077,0.42104477684417124,-0.11835918599399003,-0.011485103550851618,0.14840511151184824
theme_cnt__ECON_BITCOIN,-0.06683763963923893,-0.07120368876789492,0.11624922839207788,-0.09259483561678139,0.14398392164382667,-0.16358859741727194,-0.13191824953145762,0.13389321008449373,0.9162413723183725,0.6958340809932568,0.7392894500271077,1.0,0.7486220131866359,-0.12426772139503255,0.10816102890130634,0.05393237822894345
theme_cnt__ECON_STOCKMARKET,0.09848813366254355,0.027728032093283214,0.0039047165437517367,0.08965323766766622,0.03413246806745684,0.14181494043371054,0.16820447718447978,-0.20214656034016806,0.6695036404346145,0.44930386092248964,0.42104477684417124,0.7486220131866359,1.0,0.07770809211034847,0.2310799188918798,-0.04618758477793831
Open_Interest,0.6863606626658524,0.41851398714466836,-0.35738090304629017,0.5811845432281874,-0.5167985698575749,0.331203913939722,0.3726242546276725,-0.39769546967143465,-0.08625707675384253,-0.29630703567829625,-0.11835918599399003,-0.12426772139503255,0.07770809211034847,1.0,-0.020096316837127454,-0.42846379741245566
sns_engagement_total,-0.05825846633180869,-0.3158968904430457,0.06874903255065876,0.009087669262764449,0.08588099541342577,-0.22565053782567518,-0.17079840564135626,0.17886368015975435,0.07091096806571183,0.19480119527566722,-0.011485103550851618,0.10816102890130634,0.2310799188918798,-0.020096316837127454,1.0,0.44012332188385744
sns_post_count,-0.3128726360842727,-0.6475630434141958,0.40056168914643847,-0.30096980665768575,0.4129805232980543,-0.5579691635822048,-0.5637638737987904,0.5751010818195178,0.008767870459187688,0.1553112721907334,0.14840511151184824,0.05393237822894345,-0.04618758477793831,-0.42846379741245566,0.44012332188385744,1.0
