Date,Price,Open,High,Low,Vol.,Change %
20250901,97.77,97.83,97.87,97.54,,0.00%
20250902,98.4,97.65,98.6,97.62,,0.64%
20250903,98.14,98.4,98.64,98.01,,-0.26%
20250904,98.35,98.15,98.44,98.08,,0.21%
20250905,97.77,98.24,98.26,97.43,,-0.59%
20250908,97.45,97.79,97.94,97.42,,-0.32%
20250909,97.79,97.38,97.82,97.25,,0.34%
20250910,97.78,97.83,97.93,97.6,,-0.01%
20250911,97.53,97.79,98.09,97.47,,-0.25%
20250912,97.55,97.52,97.86,97.49,,0.02%
20250915,97.3,97.63,97.7,97.27,,-0.25%
20250916,96.63,97.34,97.39,96.56,,-0.69%
20250917,96.87,96.62,97.07,96.22,,0.25%
20250918,97.35,96.93,97.6,96.84,,0.49%
20250919,97.64,97.34,97.81,97.27,,0.30%
20250922,97.34,97.65,97.82,97.3,,-0.31%
20250923,97.26,97.32,97.46,97.2,,-0.08%
20250924,97.87,97.24,97.92,97.22,,0.63%
20250925,98.55,97.82,98.61,97.74,,0.69%
20250926,98.15,98.5,98.53,98.13,,-0.41%
20250929,97.91,98.17,98.18,97.77,,-0.25%
20250930,97.78,97.91,98.04,97.63,,-0.13%
20251001,97.71,97.82,97.88,97.46,,-0.07%
20251002,97.85,97.7,98.13,97.52,,0.14%
20251003,97.72,97.85,97.95,97.6,,-0.13%
20251006,98.11,97.96,98.5,97.96,,0.39%
20251007,98.58,98.09,98.66,98.09,,0.48%
20251008,98.92,98.61,99.06,98.59,,0.34%
20251009,99.54,98.84,99.56,98.7,,0.63%
20251010,98.98,99.39,99.43,98.81,,-0.56%
20251013,99.27,98.94,99.35,98.83,,0.29%
20251014,99.05,99.3,99.47,98.99,,-0.22%
20251015,98.79,99.05,99.08,98.65,,-0.26%
20251016,98.34,98.67,98.7,98.3,,-0.46%
20251017,98.43,98.26,98.55,98.03,,0.10%
20251020,98.59,98.67,98.67,98.39,,0.16%
20251021,98.93,98.61,98.98,98.51,,0.35%
20251022,98.9,98.97,99.14,98.79,,-0.04%
20251023,98.94,98.92,99.14,98.91,,0.04%
20251024,98.95,98.94,99.1,98.73,,0.02%
20251027,98.78,98.84,99.0,98.73,,-0.17%
20251028,98.67,98.75,98.95,98.57,,-0.12%
20251029,99.22,98.74,99.36,98.62,,0.56%
20251030,99.53,99.14,99.72,98.92,,0.31%
20251031,99.8,99.49,99.84,99.42,,0.28%
