Date,종가,시가,고가,저가,거래량,변동 %
20250902,"3,592.20","3,517.90","3,602.40","3,506.00",220.79K,2.28%
20250903,"3,635.50","3,600.00","3,640.10","3,592.40",232.58K,1.21%
20250904,"3,606.70","3,619.80","3,621.60","3,573.70",237.65K,-0.79%
20250908,"3,677.40","3,635.00","3,685.70","3,621.70",262.66K,1.96%
20250909,"3,682.20","3,676.60","3,715.20","3,663.70",182.03K,0.13%
20250910,"3,682.00","3,662.00","3,697.50","3,651.40",214.61K,-0.01%
20250911,"3,673.60","3,680.60","3,687.50","3,651.00",154.56K,-0.23%
20250915,"3,719.00","3,680.20","3,724.90","3,662.80",192.30K,1.24%
20250916,"3,725.10","3,720.30","3,739.90","3,711.80",256.05K,0.16%
20250917,"3,717.80","3,727.30","3,744.00","3,679.50",224.13K,-0.20%
20250918,"3,678.30","3,692.50","3,707.30","3,660.50",186.95K,-1.06%
20250922,"3,761.60","3,707.50","3,769.00","3,705.00",291.56K,2.26%
20250923,"3,801.80","3,767.30","3,808.00","3,759.30",236.56K,1.07%
20250924,"3,753.40","3,784.30","3,798.50","3,735.70",262.18K,-1.27%
20250925,"3,756.50","3,758.00","3,775.90","3,739.00",214.08K,0.08%
20250929,"3,855.20","3,788.80","3,863.70","3,785.50",312.26K,2.63%
20250930,"3,873.20","3,863.10","3,899.20","3,820.60",290.47K,0.47%
20251001,"3,897.50","3,887.70","3,922.70","3,880.30",284.22K,0.63%
20251002,"3,868.10","3,892.70","3,923.30","3,842.80",218.28K,-0.75%
20251006,"3,976.30","3,913.50","3,994.50","3,909.20",297.51K,2.80%
20251007,"4,004.40","3,983.00","4,014.60","3,963.40",348.78K,0.71%
20251008,"4,070.50","4,007.10","4,081.00","4,005.60",461.02K,1.65%
20251009,"3,972.60","4,061.80","4,077.90","3,957.90",357.54K,-2.41%
20251013,"4,133.00","4,018.30","4,137.20","4,011.30",405.99K,4.04%
20251014,"4,163.40","4,130.90","4,190.90","4,105.00",309.91K,0.74%
20251015,"4,201.60","4,160.10","4,235.80","4,157.30",375.20K,0.92%
20251016,"4,304.60","4,225.10","4,346.70","4,214.50",569.85K,2.45%
20251020,"4,359.40","4,269.00","4,398.00","4,229.70",535.33K,1.27%
20251021,"4,109.10","4,371.00","4,393.60","4,093.00",468.71K,-5.74%
20251022,"4,065.40","4,137.00","4,175.00","4,021.20",271.97K,-1.06%
20251023,"4,145.60","4,114.80","4,171.50","4,079.60",297.60K,1.97%
20251027,"4,005.50","4,066.30","4,101.60","3,973.00",338.43K,-3.38%
20251028,"3,968.70","3,985.10","4,015.00","3,890.70",288.27K,-0.92%
20251029,"3,986.20","3,930.90","4,030.00","3,926.50",246.32K,0.44%
20251030,"4,015.90","3,942.80","4,041.50","3,925.10",237.17K,0.75%
