Date,Price,Open,High,Low,Vol.,Change %
20250901,"109,243.3","108,247.3","109,898.5","107,274.7",53.13K,0.94%
20250902,"111,218.3","109,241.6","111,714.6","108,425.3",60.02K,1.81%
20250903,"111,716.5","111,227.9","112,568.1","110,547.9",43.05K,0.45%
20250904,"110,712.7","111,716.5","112,189.1","109,344.8",43.30K,-0.90%
20250905,"110,652.2","110,727.9","113,315.6","110,234.6",63.56K,-0.05%
20250906,"110,194.4","110,660.1","111,313.4","110,010.5",21.14K,-0.41%
20250907,"111,150.1","110,194.4","111,594.1","110,185.6",23.81K,0.87%
20250908,"112,068.4","111,140.9","112,896.9","110,630.5",41.95K,0.83%
20250909,"111,516.5","112,066.3","113,259.9","110,781.1",53.76K,-0.49%
20250910,"113,963.5","111,517.1","114,300.7","110,938.8",62.24K,2.19%
20250911,"115,490.2","113,963.5","115,490.6","113,446.6",47.81K,1.34%
20250912,"116,042.8","115,490.5","116,684.3","114,766.1",56.48K,0.48%
20250913,"115,924.9","116,042.6","116,292.4","115,207.3",30.79K,-0.10%
20250914,"115,314.6","115,924.8","116,165.6","115,158.3",25.84K,-0.53%
20250915,"115,362.1","115,314.2","116,723.2","114,412.2",48.68K,0.04%
20250916,"116,795.9","115,362.1","116,970.0","114,801.0",43.05K,1.24%
20250917,"116,425.9","116,795.9","117,284.2","114,782.5",56.85K,-0.32%
20250918,"117,086.0","116,426.5","117,910.4","116,144.9",46.50K,0.57%
20250919,"115,649.0","117,089.2","117,470.7","115,133.5",36.98K,-1.23%
20250920,"115,699.2","115,649.0","116,138.4","115,424.9",20.42K,0.04%
20250921,"115,243.0","115,699.2","115,833.2","115,205.5",19.28K,-0.39%
20250922,"112,673.0","115,243.3","115,382.7","111,964.9",67.57K,-2.23%
20250923,"112,002.6","112,673.0","113,279.9","111,501.9",44.21K,-0.60%
20250924,"113,307.1","112,002.9","113,951.0","111,212.0",43.29K,1.16%
20250925,"109,016.3","113,307.1","113,508.6","108,675.3",69.14K,-3.79%
20250926,"109,662.2","109,012.4","110,299.1","108,673.0",54.26K,0.59%
20250927,"109,652.8","109,662.2","109,734.3","109,090.8",22.46K,-0.01%
20250928,"112,174.6","109,652.8","112,355.8","109,213.5",28.91K,2.30%
20250929,"114,357.5","112,177.4","114,412.5","111,571.1",55.53K,1.95%
20250930,"114,048.5","114,355.4","114,776.2","112,672.5",53.07K,-0.27%
20251001,"118,576.2","114,048.7","118,634.5","113,970.5",69.15K,3.97%
20251002,"120,566.1","118,577.1","121,023.0","118,318.1",69.08K,1.68%
20251003,"122,224.2","120,566.1","123,889.8","119,272.6",81.43K,1.38%
20251004,"122,387.1","122,224.8","122,810.6","121,530.5",31.34K,0.13%
20251005,"123,475.5","122,387.1","125,617.4","122,146.2",66.03K,0.89%
20251006,"124,725.1","123,475.5","126,186.0","123,144.6",68.95K,1.01%
20251007,"121,356.6","124,687.5","125,112.9","120,624.3",70.42K,-2.70%
20251008,"123,311.1","121,356.7","124,139.3","121,086.1",57.67K,1.61%
20251009,"121,666.3","123,337.6","123,710.9","119,732.7",67.35K,-1.33%
20251010,"112,878.6","121,666.6","122,492.8","103,893.3",153.63K,-7.22%
20251011,"110,671.5","112,878.0","113,315.0","109,677.7",107.25K,-1.96%
20251012,"114,986.0","110,670.9","115,733.9","109,612.8",93.16K,3.90%
20251013,"115,174.8","114,985.9","115,893.1","113,802.1",71.35K,0.16%
20251014,"113,030.8","115,174.8","115,400.6","109,948.0",95.33K,-1.86%
20251015,"110,767.4","113,029.8","113,611.9","110,206.4",72.25K,-2.00%
20251016,"108,204.8","110,767.4","111,960.2","107,549.1",92.62K,-2.31%
20251017,"106,443.5","108,205.5","109,232.3","103,632.7",106.66K,-1.63%
20251018,"107,193.5","106,469.4","107,489.0","106,356.9",40.28K,0.70%
20251019,"108,658.2","107,189.9","109,456.1","106,134.9",52.65K,1.37%
20251020,"110,544.0","108,656.3","111,677.2","107,443.1",64.94K,1.74%
20251021,"108,340.9","110,544.0","113,971.6","107,491.1",108.22K,-1.99%
20251022,"107,587.5","108,336.4","109,081.5","106,746.2",86.97K,-0.70%
20251023,"110,078.9","107,587.5","111,285.9","107,518.9",59.44K,2.32%
20251024,"111,013.1","110,078.9","111,966.0","109,776.0",51.79K,0.85%
20251025,"111,646.1","111,012.4","111,921.3","110,702.1",23.30K,0.57%
20251026,"114,550.9","111,646.0","115,153.9","111,261.9",42.74K,2.60%
20251027,"114,108.0","114,553.9","116,307.5","113,868.0",70.79K,-0.39%
20251028,"112,905.8","114,110.3","116,076.7","112,266.9",52.49K,-1.05%
20251029,"110,024.6","112,904.7","113,628.7","109,506.4",66.99K,-2.55%
20251030,"108,320.1","110,024.9","111,585.8","106,371.4",80.07K,-1.55%
20251031,"109,602.8","108,319.5","111,102.2","108,319.5",68.61K,1.18%
