Date,Yield_10Y,Gold_Price_YF,USD_Index,BTC_Price,Open_Interest
20250901,,,97.77,109243.3,75.0
20250902,42.77,3549.39990234375,98.4,111218.3,76.0
20250903,42.11,3593.199951171875,98.14,111716.5,77.0
20250904,41.76,3565.800048828125,98.35,110712.7,78.0
20250905,40.86,3613.199951171875,97.77,110652.2,79.0
20250906,,,,110194.4,80.0
20250907,,,,111150.1,81.0
20250908,40.46,3638.10009765625,97.45,112068.4,82.0
20250909,40.74,3643.300048828125,97.79,111516.5,83.0
20250910,40.32,3643.60009765625,97.78,113963.5,84.0
20250911,40.11,3636.89990234375,97.53,115490.2,85.0
20250912,40.61,3649.39990234375,97.55,116042.8,86.0
20250913,,,,115924.9,87.0
20250914,,,,115314.6,88.0
20250915,40.34,3682.199951171875,97.3,115362.1,89.0
20250916,40.26,3688.89990234375,96.63,116795.9,90.0
20250917,40.76,3681.800048828125,96.87,116425.9,91.0
20250918,41.04,3643.699951171875,97.35,117086.0,92.0
20250919,41.39,3671.5,97.64,115649.0,92.72
20250920,,,,115699.2,93.44
20250921,,,,115243.0,94.17
20250922,41.43,3740.699951171875,97.34,112673.0,94.89
20250923,41.2,3780.60009765625,97.26,112002.6,95.61
20250924,41.47,3732.10009765625,97.87,113307.1,96.33
20250925,41.72,3736.89990234375,98.55,109016.3,97.06
20250926,41.87,3775.300048828125,98.15,109662.2,97.78
20250927,,,,109652.8,98.5
20250928,,,,112174.6,99.22
20250929,41.41,3820.89990234375,97.91,114357.5,99.94
20250930,41.48,3840.800048828125,97.78,114048.5,100.67
20251001,41.06,3867.5,97.71,118576.2,101.39
20251002,40.88,3839.699951171875,97.85,120566.1,102.11
20251003,41.19,3880.800048828125,97.72,122224.2,102.83
20251004,,,,122387.1,103.56
20251005,,,,123475.5,104.28
20251006,41.62,3948.5,98.11,124725.1,105.0
20251007,41.27,3976.60009765625,98.58,121356.6,104.5
20251008,41.29,4043.300048828125,98.92,123311.1,104.0
20251009,41.48,3946.300048828125,99.54,121666.3,103.5
20251010,40.51,3975.89990234375,98.98,112878.6,100.0
20251011,,,,110671.5,68.0
20251012,,,,114986.0,67.9
20251013,40.51,4108.60009765625,99.27,115174.8,67.8
20251014,40.22,4138.7001953125,99.05,113030.8,67.7
20251015,40.46,4176.89990234375,98.79,110767.4,67.6
20251016,39.76,4280.2001953125,98.34,108204.8,67.5
20251017,40.07,4189.89990234375,98.43,106443.5,67.4
20251018,,,,107193.5,67.3
20251019,,,,108658.2,67.2
20251020,39.86,4336.39990234375,98.59,110544.0,67.1
20251021,39.63,4087.699951171875,98.93,108340.9,67.0
20251022,39.53,4044.39990234375,98.9,107587.5,66.9
20251023,39.91,4125.5,98.94,110078.9,66.8
20251024,39.97,4118.39990234375,98.95,111013.1,66.7
20251025,,,,111646.1,66.6
20251026,,,,114550.9,66.5
20251027,39.97,4001.89990234375,98.78,114108.0,66.4
20251028,39.83,3966.199951171875,98.67,112905.8,66.3
20251029,40.58,3983.699951171875,99.22,110024.6,66.2
20251030,40.93,4001.300048828125,99.53,108320.1,66.1
20251031,41.01,3982.199951171875,99.8,109602.8,66.0
20251101,,,,,
